type,tau,power
exponential_kernel,5.5,15.0
exponential_kernel,5.5,15.5
exponential_kernel,5.5,16.0
exponential_kernel,5.5,16.5
exponential_kernel,5.5,17.0
exponential_kernel,5.5,17.5
exponential_kernel,5.5,18.0
exponential_kernel,5.5,18.5
exponential_kernel,5.5,19.0
exponential_kernel,5.5,19.5
exponential_kernel,5.5,20.0
exponential_kernel,6.0,0.5
exponential_kernel,6.0,1.0
exponential_kernel,6.0,1.5
exponential_kernel,6.0,2.0
exponential_kernel,6.0,2.5
exponential_kernel,6.0,3.0
exponential_kernel,6.0,3.5
exponential_kernel,6.0,4.0
exponential_kernel,6.0,4.5
exponential_kernel,6.0,5.0
exponential_kernel,6.0,5.5
exponential_kernel,6.0,6.0
exponential_kernel,6.0,6.5
exponential_kernel,6.0,7.0
exponential_kernel,6.0,7.5
exponential_kernel,6.0,8.0
exponential_kernel,6.0,8.5
exponential_kernel,6.0,9.0
exponential_kernel,6.0,9.5
exponential_kernel,6.0,10.0
exponential_kernel,6.0,10.5
exponential_kernel,6.0,11.0
exponential_kernel,6.0,11.5
exponential_kernel,6.0,12.0
exponential_kernel,6.0,12.5
exponential_kernel,6.0,13.0
exponential_kernel,6.0,13.5
exponential_kernel,6.0,14.0
exponential_kernel,6.0,14.5
exponential_kernel,6.0,15.0
exponential_kernel,6.0,15.5
exponential_kernel,6.0,16.0
exponential_kernel,6.0,16.5
exponential_kernel,6.0,17.0
exponential_kernel,6.0,17.5
exponential_kernel,6.0,18.0
exponential_kernel,6.0,18.5
exponential_kernel,6.0,19.0
exponential_kernel,6.0,19.5
exponential_kernel,6.0,20.0
exponential_kernel,6.5,0.5
exponential_kernel,6.5,1.0
exponential_kernel,6.5,1.5
exponential_kernel,6.5,2.0
exponential_kernel,6.5,2.5
exponential_kernel,6.5,3.0
exponential_kernel,6.5,3.5
exponential_kernel,6.5,4.0
exponential_kernel,6.5,4.5
exponential_kernel,6.5,5.0
exponential_kernel,6.5,5.5
exponential_kernel,6.5,6.0
exponential_kernel,6.5,6.5
exponential_kernel,6.5,7.0
exponential_kernel,6.5,7.5
exponential_kernel,6.5,8.0
exponential_kernel,6.5,8.5
exponential_kernel,6.5,9.0
exponential_kernel,6.5,9.5
exponential_kernel,6.5,10.0
exponential_kernel,6.5,10.5
exponential_kernel,6.5,11.0
exponential_kernel,6.5,11.5
exponential_kernel,6.5,12.0
exponential_kernel,6.5,12.5
exponential_kernel,6.5,13.0
exponential_kernel,6.5,13.5
exponential_kernel,6.5,14.0
exponential_kernel,6.5,14.5
exponential_kernel,6.5,15.0
exponential_kernel,6.5,15.5
exponential_kernel,6.5,16.0
exponential_kernel,6.5,16.5
